Chapter,Program,MemberID,IncentiveAmount,DateAwarded
Chapter 7,Referral,M9557,121.34,2025-08-28
Chapter 19,Referral,M4251,385.57,2025-10-17
Chapter 3,Engagement,M3488,302.28,2025-03-12
Chapter 2,Referral,M3662,422.63,2025-01-01
Chapter 18,Referral,M4127,353.48,2025-08-18
Chapter 12,Sales,M6292,340.48,2025-05-24
Chapter 20,Retention,M4478,79.68,2025-08-04
Chapter 13,Engagement,M7189,62.08,2025-02-26
Chapter 5,Engagement,M4015,245.06,2025-11-21
Chapter 17,Sales,M6432,149.09,2025-06-27
Chapter 13,Sales,M8063,272.99,2025-06-01
Chapter 18,Sales,M5373,467.13,2025-05-26
Chapter 10,Engagement,M7828,477.34,2025-12-06
Chapter 9,Referral,M8868,187.5,2025-06-19
Chapter 7,Retention,M5540,348.9,2025-02-28
Chapter 12,Sales,M8952,480.82,2025-08-10
Chapter 9,Sales,M2840,474.4,2025-11-26
Chapter 19,Sales,M3552,372.58,2025-03-16
Chapter 13,Sales,M7849,284.64,2025-06-21
Chapter 18,Sales,M2057,205.65,2025-11-17
Chapter 7,Engagement,M2752,136.57,2025-04-20
Chapter 14,Referral,M5860,210.46,2025-06-16
Chapter 15,Referral,M6348,13.29,2025-05-14
Chapter 7,Engagement,M9356,418.56,2025-01-12
Chapter 5,Engagement,M3483,307.25,2025-09-30
Chapter 2,Engagement,M9943,239.27,2025-01-12
Chapter 15,Engagement,M3571,269.24,2025-01-12
Chapter 14,Retention,M1352,194.22,2025-12-10
Chapter 2,Referral,M1803,184.43,2025-04-02
Chapter 6,Retention,M9627,172.83,2025-10-30
Chapter 14,Sales,M7925,453.67,2025-05-23
Chapter 4,Sales,M7930,249.78,2025-05-25
Chapter 18,Engagement,M8264,286.52,2025-05-03
Chapter 11,Retention,M4207,261.53,2025-06-19
Chapter 16,Retention,M2016,421.84,2025-02-11
Chapter 11,Retention,M5514,317.15,2025-05-31
Chapter 15,Engagement,M6941,448.64,2025-07-10
Chapter 14,Sales,M1996,127.13,2025-02-27
Chapter 7,Engagement,M1626,41.49,2025-03-22
Chapter 7,Engagement,M3579,162.56,2025-02-18
Chapter 3,Retention,M5800,120.13,2025-06-10
Chapter 19,Referral,M8060,79.08,2025-02-06
Chapter 3,Sales,M1706,250.43,2025-05-25
Chapter 16,Sales,M8067,208.64,2025-10-17
Chapter 14,Referral,M8022,172.55,2025-09-07
Chapter 9,Sales,M3144,284.62,2025-11-24
Chapter 8,Retention,M5011,358.09,2025-02-04
Chapter 5,Sales,M9233,123.34,2025-05-05
Chapter 10,Referral,M3655,287.67,2025-06-30
Chapter 20,Engagement,M4875,462.81,2025-11-15
Chapter 10,Referral,M4598,47.19,2025-04-19
Chapter 1,Sales,M2513,394.52,2025-05-13
Chapter 13,Retention,M5767,197.05,2025-07-23
Chapter 6,Referral,M9000,138.08,2025-02-15
Chapter 2,Retention,M5828,299.58,2025-08-07
Chapter 20,Sales,M3160,209.38,2025-06-08
Chapter 6,Referral,M6414,115.4,2025-02-19
